,Edge,Min Odds Away,Min Odds Home,Max Odds Away,Max Odds Home,Profit,Percentage
295,4.0,-1000.0,-400.0,200.0,125.0,-195.79999999999995,0.41
296,4.0,-1000.0,-400.0,200.0,0.0,-138.79999999999995,0.41
297,4.0,-1000.0,-400.0,150.0,1000.0,-338.79999999999995,0.38
298,4.0,-1000.0,-400.0,150.0,600.0,-338.79999999999995,0.38
299,4.0,-1000.0,-400.0,150.0,500.0,-338.79999999999995,0.38
300,4.0,-1000.0,-400.0,150.0,400.0,-338.79999999999995,0.38
301,4.0,-1000.0,-400.0,150.0,300.0,-382.79999999999995,0.38
302,4.0,-1000.0,-400.0,150.0,200.0,-349.79999999999995,0.4
303,4.0,-1000.0,-400.0,150.0,150.0,22.200000000000045,0.46
304,4.0,-1000.0,-400.0,150.0,125.0,124.20000000000005,0.49
305,4.0,-1000.0,-400.0,150.0,0.0,181.20000000000005,0.5
306,4.0,-1000.0,-400.0,125.0,1000.0,-578.8,0.34
307,4.0,-1000.0,-400.0,125.0,600.0,-578.8,0.34
308,4.0,-1000.0,-400.0,125.0,500.0,-578.8,0.34
309,4.0,-1000.0,-400.0,125.0,400.0,-578.8,0.34
310,4.0,-1000.0,-400.0,125.0,300.0,-622.8,0.34
311,4.0,-1000.0,-400.0,125.0,200.0,-589.8,0.35
312,4.0,-1000.0,-400.0,125.0,150.0,-217.79999999999995,0.42
313,4.0,-1000.0,-400.0,125.0,125.0,-115.79999999999995,0.45
314,4.0,-1000.0,-400.0,125.0,0.0,-58.799999999999955,0.48
315,4.0,-1000.0,-400.0,0.0,1000.0,-544.8,0.31
316,4.0,-1000.0,-400.0,0.0,600.0,-544.8,0.31
317,4.0,-1000.0,-400.0,0.0,500.0,-544.8,0.31
318,4.0,-1000.0,-400.0,0.0,400.0,-544.8,0.31
319,4.0,-1000.0,-400.0,0.0,300.0,-588.8,0.31
320,4.0,-1000.0,-400.0,0.0,200.0,-555.8,0.31
321,4.0,-1000.0,-400.0,0.0,150.0,-183.79999999999995,0.39
322,4.0,-1000.0,-400.0,0.0,125.0,-81.79999999999995,0.45
323,4.0,-1000.0,-400.0,0.0,0.0,-24.799999999999955,0.55
324,4.0,-1000.0,-300.0,1000.0,1000.0,-455.79999999999995,0.34
325,4.0,-1000.0,-300.0,1000.0,600.0,-455.79999999999995,0.34
326,4.0,-1000.0,-300.0,1000.0,500.0,-455.79999999999995,0.34
327,4.0,-1000.0,-300.0,1000.0,400.0,-455.79999999999995,0.34
328,4.0,-1000.0,-300.0,1000.0,300.0,-499.8,0.34
329,4.0,-1000.0,-300.0,1000.0,200.0,-466.79999999999995,0.34
330,4.0,-1000.0,-300.0,1000.0,150.0,-94.79999999999995,0.36
331,4.0,-1000.0,-300.0,1000.0,125.0,7.2000000000000455,0.36
332,4.0,-1000.0,-300.0,1000.0,0.0,64.20000000000005,0.36
333,4.0,-1000.0,-300.0,600.0,1000.0,-716.8,0.33
334,4.0,-1000.0,-300.0,600.0,600.0,-716.8,0.33
335,4.0,-1000.0,-300.0,600.0,500.0,-716.8,0.33
336,4.0,-1000.0,-300.0,600.0,400.0,-716.8,0.33
337,4.0,-1000.0,-300.0,600.0,300.0,-760.8,0.33
338,4.0,-1000.0,-300.0,600.0,200.0,-727.8,0.34
339,4.0,-1000.0,-300.0,600.0,150.0,-355.79999999999995,0.35
340,4.0,-1000.0,-300.0,600.0,125.0,-253.79999999999995,0.35
341,4.0,-1000.0,-300.0,600.0,0.0,-196.79999999999995,0.35
342,4.0,-1000.0,-300.0,500.0,1000.0,-716.8,0.33
